Code,GLOSS ID,Country,Location,Connection,DCP ID,Delay,TransmitInterval
abas,327,Japan,Abashiri,SWJP40,ABASHIRI,14',10'
abed,,UK,Aberdeen,ftp,,38',15'
abur,82,Japan,Aburatsu,SWJP40,ABURATSU,14',10'
acaj,182,El Salvador,Acajutla,SEMS40,50313520,7',5'
acap,267,Mexico,Acapulco,SEPA40,3540E15A,1755d,5'
acap2,267,Mexico,Acapulco API,SOMX10,0100D7CA,11',10'
acnj,220,USA,Atlantic City,web,3367B730,9',5'
acnj2,220,USA,Atlantic City,SXXX03,3367B730,10',5'
acor1,,Spain,A Coruña,ftp,,13',5'
acya,267,Mexico,Acapulco Club de Yates,ftp,,23h,10'
adak,302,USA,Adak,web,3360F60E,11',6'
adak2,302,USA,Adak,SXXX03,3360F60E,11',6'
aden,3,Yemen,Aden,SXXX33,3686B76A,1249d,15'
agal,,Mauritius,Agalega,SXXX32,3246B586,555d,15'
agua,,Puerto Rico,Aguadilla (Crash Boat),SXXX03,A4F01158,8h,6'
aigi,,Greece,Aigio,web,,5',1'
ajac,,France,Ajaccio,ftp,,11',5'
ajac2,,France,Ajaccio2,SZFR01,FR0300,12',6'
alac1,,Spain,Alicante1,ftp,,13',5'
alac2,,Spain,Alicante2,ftp,,13',5'
alak,,USA,Alitak,web,3363341E,8',5'
alak2,,USA,Alitak,SXXX03,3363341E,9',5'
alam,,USA,Alameda,web,3362E08C,12',5'
alam2,,USA,Alameda,SXXX03,3362E08C,1607d,5'
albo,,Spain,Alboran Island,ftp,,20d,5'
albu,,Portugal,Albufeira,bgan,ALBU,36d,1'
alcu,,Spain,Alcudia,ftp,,7',4'
aler,333,Canada,Alert,web,,2d,10'
alex,349,Egypt,Alexandria,SXXX32,2636F22C,2085d,15'
alex1,,Egypt,Alexandria,bgan,ALEX1,0',1'
alge,,Spain,Algeciras,ftp,,7',4'
alme,,Spain,Almeria,ftp,,7',4'
alme2,,Spain,Almería,ftp,,6',5'
alofi,,Niue,Alofi Niue,SZPS01,66570,6',3'
alva,,Mexico,Alvarado,ftp,,21',10'
alva2,,Mexico,Alvarado2,SOMX10,01014052,5d,1h
amal,,USA,Charlotte-Amalie,web,3364A348,11',6'
amal2,,USA,Charlotte-Amalie,SXXX03,3364A348,14',6'
amas,,Turkey,Amasra,web,,5',2'
ambon,68,Indonesia,Ambon,SZID40,06503AC6,5',6'
AN15,,Italy,Ancona,web,,5',5'
anch,,USA,Anchorage,web,3363B20A,14',5'
anch2,,USA,Anchorage,SXXX03,3363B20A,10',5'
ancu,,Chile,Ancud,SXCH40,ADC12228,9',10'
ancu2,,Chile,Ancud,web,,5',10'
ande,322,Norway,Andenes,web,,13',1h
anta,,Turkey,Antalya,web,,5',2'
anto,174,Chile,Antofagasta,SXCH40,ADC0F6BA,5',5'
anto2,174,Chile,Antofagasta,web,,3',5'
apfl,,USA,Apalachicola,web,3346C2B4,10',5'
apfl2,,USA,Apalachicola,SXXX03,3346C2B4,11',5'
apla,,USA,"Lawma, Amerada Pass, LA",web,334773C0,8',5'
apla2,,USA,"Lawma, Amerada Pass, LA",SXXX03,334773C0,9',5'
arac,,Puerto Rico,Arecibo,web,,13d,6'
aracS,,Puerto Rico,Arecibo (GTS),SXXX03,3366454E,12',6'
arca,,France,Arcachon Eyrac,ftp,,10',5'
arca2,,France,Arcachon Eyrac 2,SZFR01,FR190,5d,6'
aren,,USA,Arena Cove,web,3368115A,12',5'
aren2,,USA,Arena Cove,SXXX03,336AF75C,141d,5'
aric,,Chile,Arica,SXCH40,ADC0D056,6',5'
aric2,,Chile,Arica,web,,6',5'
arko,,Sweden,Arko,web,,53',1h
arrc,,Brasil,Arraial do Cabo,SEPO40,B5B007D4,69d,5'
arre,,Spain,Arrecife,ftp,,7',4'
arri,,Portugal,Arrifana,bgan,ARRI,1',1'
ascen,263,UK,Ascension,SXXX32,265C94AA,1184d,15'
ashd,,Israel,Ashdod Port,ftp,,1981d,1'
ashd1,,Israel,Ashdod Marina,bgan,ASHD1,496d,1'
ashk,,Oman,Ashkhara,SXOM33,18E447FC,862d,6'
askl,,Israel,Ashkelon,ftp,,1975d,1'
asro,,Nicaragua,Aserraderos,bgan,NI-asro-00,685d,1'
asto,,USA,Astoria,web,335086EE,9',5'
asto2,,USA,Astoria,SXXX03,335086EE,10',5'
atic,,Perú,Atico,SEPR40,9323727A,2264d,1h
atka,,USA,"Atka, AK",web,,6',5'
auct,127,New Zealand,Auckland,SZNZ01,AUCT,6',3'
audi,,France,Audierne,ftp,,9',5'
audi2,,France,Audierne 2,SZFR01,FR6305,9',6'
avon,,UK,Avonmouth Portbury,ftp,,38',15'
AZ42,,Italy,Anzio,web,,5',5'
BA05,,Italy,Bari,web,,5',5'
ball,,Ireland,"Ballyglass pier, Belmullet",ftp,,3',1h
balt,169,Ecuador,"Baltra,Galapagos",SEEQ40,932040EE,6',5'
bamd,,USA,Baltimore,web,336577DA,17',5'
bamd2,,USA,Baltimore,SXXX03,336577DA,14',5'
bame,,USA,Bar Harbor,web,336747B4,11',5'
bame2,,USA,Bar Harbor,SXXX03,336747B4,11',5'
bamf,,Canada,Bamfield,web,,5',10'
bang,,UK,Bangor,ftp,,38',15'
bapj,,Australia,Battery Point,SZAU01,61221,6',3'
bara,,Dominican Republic,Barahona,SXDR40,04401622,8',5'
barb,,Antigua,Barbuda,web,,495d,6'
barb2,,Antigua,Barbuda,SXXX03,334550D8,11',6'
barc,,Spain,Barcelona,ftp,,9',4'
barc2,,Spain,Port of Barcelona,SXXX33,1825C776,50d,6'
barm,,UK,Barmouth,ftp,,38',15'
barn,,Australia,Burnie Tasmania,SZAU01,60910,6',3'
bars,,Sweden,Barseback,web,,53',1h
bass,,St. Kitts & Nevis,Basseterre (Coast Guard Base),SOAT10,FA8005BC,442d,5'
batr,,Lebanon,Batroun,bgan,BATR,3d,1'
bbbc,,Canada,Bella Bella,SXAK50,CD401E4C,5',5'
bbst,221,Bermudas,Bermuda Biological Station,web,,334d,6'
bbst2,221,Bermudas,Bermuda Biological Station2,SXXX03,334032FE,334d,6'
bdto,,Panamá,Bocas Del Toro,SOPM10,F230215A,5',5'
bele,,Brasil,Belém,SEPO40,B5B01A70,10',5'
benc,,USA,Beaufort,web,3364C6AE,7',5'
benc2,,USA,Beaufort,SXXX03,3364C6AE,14',5'
beno,49,Indonesia,Benoa,SZID43,06508948,7',6'
bgct,,USA,Bridgeport,web,,11',5'
bgct2,,USA,Bridgeport,SXXX03,3372E712,16',5'
bil3,,Spain,Bilbao3,ftp,,7',4'
bitu,69,Indonesia,Bitung,SZID42,06504284,7',6'
blow,,Anguilla,Blowing Point,SOAT10,A84006AC,8',5'
blueb,,Mauritius,Blue Bay,SXXX32,22BF90A6,23',15'
bmda,221,UK,Bermuda St Georges,web,,648d,6'
bmsa,,Chile,Bahia Mansa,SXCH40,14063458,6',5'
bmsa2,,Chile,Bahia Mansa,web,,3',5'
bmsg,,Bermudas,Bermuda St. George's Cruise Pier,SOTI10,C79013E2,9',5'
bmso,,Bermudas,Bermuda Somerset,SOTI10,C7901D30,9',5'
bnjl,,Gambia,Banjul,ftp,18D497E4,1779d,1h
bodr,,Turkey,Bodrum,web,,7',2'
bodri,,Turkey,Bodrum (IDSL),bgan,BODRI,3',1'
boma,,USA,Boston,web,335E54EE,11',5'
bon2,,Spain,Bonanza2,ftp,,7',4'
bona,,Sweden,Bonan,web,,53',1h
bork,,Germany,Borkum Fischerbalje,web,,9',5'
bouc,,France,Boucau-Bayonne,ftp,,9',5'
bouc2,,France,Boucau-Bayonne 2,SZFR01,FR094,9',6'
boul,,France,Boulogne-Sur-Mer,ftp,,8',5'
boul2,,France,Boulogne-Sur-Mer 2,SZFR01,FR111,9',6'
bour,,UK,Bournemouth,ftp,,38',15'
boye,,Chile,Boyeruca,SXCH40,ADC203CA,5',5'
boye2,,Chile,Boyeruca,web,,10',5'
bozc,,Turkey,Bozcaada,bgan,BOZC,5h,1'
bozy,,Turkey,Bozyazi,web,,5',2'
bres,242,France,Brest,ftp,,10',5'
bres2,242,France,Brest2,ftp,,195d,5'
brid,,Barbados,Bridgetown Port,SOBR10,14004206,540d,1h
brof,,Sweden,Brofjorden,web,,53',1h
brom,40,Australia,Broome,SZAU01,62650,6',3'
brpt,,Hawaii,Barbers Point,SEPO40,35403732,6',5'
brsk,,Netherlands,Breskens Handelshaven,web,,13',10'
btny,,USA,Battery The,web,336670D4,11',5'
btny2,,USA,Battery The,SXXX03,336670D4,12',5'
buca,,Chile,Bucalemu,,,179d,5'
buca2,,Chile,Bucalemu,web,,1994d,5'
buca3,,Chile,Bucalemu,web,,273d,1'
bull,,Curaçao,Bullen Bay,SEPO40,3541C54C,7',5'
bupo,,Indonesia,Bungus Port,bgan,BUPO,3',1'
busa,84,Korea,Busan,ftp,,6',1'
buve,170,Colombia,Buenaventura,ftp,,9d,5'
buve2,170,Colombia,Buenaventura,SXCO41,15AA92C8,7',5'
CA02,,Italy,Cagliari,web,,5',5'
cabc,,Belize,Carrie Bow Cay,SOBH10,777022C4,935d,5'
cabo,161,Mexico,Cabo San Lucas,SEMX03,93209686,1755d,15'
cacb,,Cayman Islands,Cayman Brac,SOTI10,C790439E,8',5'
cadi,,Spain,Cadiz,bgan,CADI,5',1'
cagb,,Cayman Islands,"Grand Cayman, Gun Bay",SOTI10,C7903BDC,8',5'
cagt,,Cayman Islands,"Grand Cayman, George Town",SOTI10,C790350E,8',5'
cala,,France,Calais,ftp,,9',5'
cala2,,France,Calais 2,SZFR01,FR0055,11',6'
calc,,Cayman Islands,Little Cayman,SOTI10,C7904D4C,87d,5'
cald,,Chile,Caldera,SXCH40,ADC104C4,5',5'
cald2,,Chile,Caldera,web,,6',5'
call,173,Perú,"Callao,La-Punta",SEPO40,354165B4,8',5'
calq,,Saint Vincent & Grenadines,Calliaqua Coast Guard Base,SOVG10,53500294,3h,5'
camt,,Mexico,Lerma Campeche,ftp,,23h,10'
camu,,Puerto Rico,Caja de Muertos,SXXX03,,835d,6'
caph,,Haïti,Cap-Haïtien,SEHA10,3540C7B6,5',5'
carb,,Spain,Carboneras,ftp,,8',4'
carg,,Spain,Cartagena,bgan,CARG,5',1'
cart,207,Colombia,Cartagena,SXCO41,CB046524,8',1h
casc,246,Portugal,Cascais,socket,,1',0.0833'
cast,330,Ireland,Castletownbere,ftp,,8',1h
cbmd,,USA,Cambridge,web,3366E5B6,17',5'
cbmd2,,USA,Cambridge,SXXX03,3366E5B6,10',5'
ccar,,Mexico,"Ciudad del Cármen, Camp.",ftp,,271d,10'
cctx,,USA,"Corpus Christi, TX",web,336943DC,570d,5'
cctx2,,USA,"Corpus Christi, TX",SXXX03,336943DC,570d,5'
cdtt,,Trinidad & Tobago,Cedros Bay,SOTD10,A9C013C0,323d,1h
cedr,,Mexico,Isla de Cedros,SOMX10,C1C027F6,3111d,1h
ceib,,Honduras,La Ceiba Cabotaje Harbor,SOHO10,50C46088,60d,1h
cent,,France,Centuri,ftp,,15',5'
cent2,,France,Centuri2,SZFR01,FR0807,9',6'
ceut,249,Spain,Ceuta,web,,8h,1d
ceut1,,Spain,Ceuta,bgan,CEUT1,5',1'
CF06,,Italy,Carloforte,web,,5',5'
chab,337,Iran,Chabahar,SXXX32,366C76AC,867d,15'
char,,USA,"Charleston, OR",web,336874BC,9',5'
char2,,USA,"Charleston, OR",SXXX03,336874BC,8',5'
chat,,Saint Vincent & Grenadines,Chateaubelair,SOVG10,53500C46,8',5'
chenn,34,India,Chennai,ftp,43280,19',10'
cher,,France,Cherbourg,ftp,,15',5'
cher2,,France,Cherbourg 2,SZFR01,FR013,14',6'
chia,,Mexico,Puerto Chiapas/Madero,SOMX10,0100A15A,11h,5'
chij,103,Japan,Chichijima,SWJP40,CHICHIJIMA,14',10'
chit,,New Zealand,"Owenga, Chatham Island",SZNZ01,CHIT,6',3'
chnr,,Chile,Chañaral,SXCH40,ADC296A8,9',5'
chnr2,,Chile,Chañaral,web,,4',5'
chrl,,Trinidad & Tobago,Charlotteville,SOTD10,A9C043BC,2080d,1h
chrp,,USA,Cherry Point,web,336BB6AC,7',5'
chrp2,,USA,Cherry Point,SXXX03,336BB6AC,8',5'
chrs,47,Australia,Christmas Island,SZIO01,46290,6',3'
chst,,New Zealand,Charleston,SZNZ01,CHST,6',3'
chtt,36,Bangladesh,Chittagong,SZBW40,065079CC,5',6'
chuu,116,Micronesia,Chuuk,SZXX01,300434063442310,5',5'
CI20,,Italy,Civitavecchia,web,,5',5'
cila,291,Indonesia,Cilacap2,,ID-CILA-00,1750d,5'
cili,291,Indonesia,Cilacap,SZID49,0650FFD8,9',6'
ciut,,Spain,Ciutadella,bgan,CIUT,5',1'
clst,,Mexico,"Celestun, Yuc.",ftp,,23h,10'
cmet,,Chile,Caleta Meteoro,SXCH40,140204F8,9',15'
cmet3,,Chile,Caleta Meteoro,web,,9',15'
cmnj,,USA,Cape May,web,335D53E0,10',5'
cmnj2,,USA,Cape May,SXXX03,335D53E0,11',5'
cnme,,USA,CutlerNavalBase,web,3354305A,648d,5'
cocb,46,Australia,Cocos Island,SZIO01,46280,6',3'
coch,32,India,Cochin,ftp,43357,9',10'
cocos,,Costa Rica,Cocos Island,SEPO40,3542E4AE,8',5'
cois,,Nicaragua,Corn Island,SXXX50,22178120,44',1h
colb,33,Sri Lanka,Colombo,SXXX33,22373340,372d,15'
coli,,Chile,Coliumo,SXCH40,ADC210BC,7',5'
coli2,,Chile,Coliumo,web,,8',5'
colo,33,Sri Lanka,Colombo,SWIO40,0650018E,8',15'
como,,Comores,Comores,SXXX32,166AC436,545d,15'
conc,,France,Concarneau,ftp,,8',5'
conc2,,France,Concarneau 2,SZFR01,FR160,12',6'
cons2,,Chile,Constitucion,web,,8',5'
const,,Chile,Constitucion,SXCH40,ADC154B8,8',5'
coqu,,Chile,Coquimbo,SXCH40,ADC117B2,5',5'
coqu2,,Chile,Coquimbo,web,,6',5'
cor2,243,Spain,Acoruna,ftp,,8',4'
cord,,USA,Cordova,web,335FA690,212d,5'
cord2,,USA,Cordova,SXXX03,335FA690,9',5'
corf,,Greece,"Kerkyra, Corfu",web,,1h,1'
cori,,Nicaragua,Puerto Corinto,SXXX50,050284CA,280d,1h
corn,,Greece,Corinth,bgan,CORN,5',1'
corr,,Chile,Corral,SXCH40,14066424,9',5'
corr2,,Chile,Corral,web,,3',5'
coru,243,Spain,La Coruña,web,,5h,1d
cove,,Colombia,Coveñas,ftp,,632d,15'
cpit,,New Zealand,Castlepoint,SZNZ01,CPIT,6',3'
cpla,,USA,"Calcasieu Pass, LA",web,3368C732,11d,5'
cpla2,,USA,"Calcasieu Pass, LA",SXXX03,3368C732,16',5'
CR08,,Italy,Crotone,web,,5',5'
crbc,,Canada,Campbell River,SXAK50,CD402BD6,5',5'
cres,,USA,Crescent City,web,33622592,12',5'
cres2,,USA,Crescent City,SXXX03,33622592,13',5'
crnl,,Chile,Coronel,SXCH40,ADC1C1DA,7',5'
crnl2,,Chile,Coronel,web,,6',5'
crom,,UK,Cromer,ftp,,38',15'
csta,,Romania,Constanta,ftp,,446d,1'
csta2,,Romania,Constanta,bgan,CSTA2,530d,1'
cstr,,Chile,Castro,SXCH40,ADC1315E,9',10'
cstr2,,Chile,Castro,web,,5',10'
CT03,,Italy,Catania,web,,5',5'
cule,,USA,Culebra Is,web,335CB2E8,9d,6'
cule2,,USA,Culebra Is,SXXX03,335CB2E8,14',6'
curri,,Philippines,Currimao,SXXX33,12D7050E,20',15'
cuvie,,Australia,Cape Cuvier Wharf,SZAU01,62385,6',3'
cuxh,284,Germany,Cuxhaven,web,,9',5'
cwfl,,USA,Clearwater Beach,web,3358C142,12',5'
cwfl2,,USA,Clearwater Beach,SXXX50,3358C142,13',5'
cwme,,USA,"Cutler Farris Wharf, ME",web,33672252,11',5'
cwme2,,USA,"Cutler Farris Wharf, ME",SXXX03,33672252,10',5'
dakar,253,Sénégal,Dakar,SXXX33,360916B8,22',15'
darw,62,Australia,Darwin,SZAU01,63230,6',3'
davo,71,Philippines,Davao,SWPH41,06505F20,9',6'
deke,115,Micronesia,"Dekehtik,Pohnpei",SZPA01,67950,6',3'
delf,,Netherlands,Delfzijl,web,,13',10'
denh,,Netherlands,Den Helder,web,,-1867',10'
denis,,Seychelles,Denis Island,SXXX33,26B7620C,3374d,15'
dese,190,Argentina,Puerto Deseado,SEPO40,33912088,19',15'
desh,,France,"Deshaies, Guadeloupe",SXMF40,12A0419C,8',5'
desi,,France,"La Desirade Island, Guadeloupe",SXMF40,12A00296,2h,5'
dial,,USA,Dauphin Island,web,335752B2,586d,5'
diba,,Oman,Diba,SXOM33,18EE7334,820d,6'
diel,,France,Dielette,ftp,,8',5'
diel2,,France,Dielette 2,SZFR01,FR628,14',6'
diep,,France,Dieppe,ftp,,8',5'
diep2,,France,Dieppe 2,SZFR01,FR024,12',6'
djib,2,Djibouti,Djibouti,SXXX32,3601E29A,1495d,15'
dlpr,,UK,Deal Pier,web,,19d,0.1666'
dove,,UK,Dover,ftp,,38',15'
dpnc,219,USA,Duck Pier,web,335DD5F4,8',5'
dumo,131,Antarctica,Dumont d'Urville,ftp,,1105d,4h
dunk,,France,Dunkerque,ftp,,9',5'
dunk2,,France,Dunkerque 2,SZFR01,FR002,14',6'
duqm,,Oman,Duqm,SXOM33,18EB74F4,13',6'
durb,13,South-Africa,Durban,SXXX33,22DEB682,2583d,15'
dutc,102,USA,Dutch Hbr Unalaska,web,3360A672,6',6'
dutc2,102,USA,Dutch Hbr Unalaska,SXXX03,3360A672,13',6'
dzao,96,France,Dzaoudzi (Mayotte),ftp,,12',5'
dzao2,96,France,Dzaoudzi (Mayotte) 2,SZIO01,FR030,11',15'
e4bs,,Sweden,E4 Bron Sodertalje,web,,34d,1h
east,137,Chile,Easter,SXCH40,93202BDA,6',5'
east2,137,Chile,Easter,web,,12',5'
ebla,,USA,East Bank 1,web,3368A2D4,648d,5'
elak,,USA,Elfin Cove,web,33604580,6',5'
elak2,,USA,Elfin Cove,SXXX03,33604580,13',5'
elat,,Israel,Elat,ftp,,2629d,1'
elpo,,Panamá,El Porvenir,SEPO40,354084BC,5',5'
engg,,Indonesia,Enggano,SXXX32,,1953d,15'
ense,,Mexico,Ensenada,SOMX10,C1C0011A,2441d,1h
epme,,USA,East Port,web,3365875E,8',5'
epme2,,USA,East Port,SXXX03,3365875E,16',5'
erdek,,Turkey,Erdek,web,,5',2'
erdem,,Turkey,Erdemli,web,,1h,2'
espe,54,Australia,Esperance,SZAU01,62080,6',3'
estr,,Colombia,Puerto Estrella,ftp,,2026d,15'
euro,,Netherlands,Europlatform,web,,-1747',10'
exmt,,UK,Exmouth Marina,web,,21d,0.1666'
faja,,Puerto Rico,Fajardo,SXXX03,3366C35A,526d,5'
falk,,Sweden,Falkenberg,web,,53',1h
fbfl,,USA,Fernadina Beach,web,336782AA,8',5'
fbfl2,,USA,Fernadina Beach,SXXX03,336782AA,9',5'
fer1,,Spain,Ferrol1,ftp,,7',4'
fer2,,Spain,Ferrol2,ftp,,7',4'
ferg,60,Australia,Cape Ferguson,SZAU01,59260,6',3'
feth,,Turkey,Fethiye,bgan,FETH,218d,1'
ffcj,,Australia,Flying Fish Cove Jetty Christmas Is,SZIO01,46291,6',3'
figu,,France,La Figueirette,ftp,,10',5'
figu2,,France,La Figueirette2,SZFR01,FR0846,14',6'
fish,,UK,Fishguard,ftp,,38',15'
fmfl,,USA,Fort Myers,web,336754C2,8',5'
fmfl2,,USA,Fort Myers,SXXX03,336754C2,9',5'
fong,121,Tuvalu Islands,Fongafale,SZPS01,67440,6',3'
form,,Spain,Formentera,ftp,,7',4'
fors,,Sweden,Forsmark,web,,57',1h
fort,336,Brasil,Fortaleza,SEPO40,3542D134,8',5'
fosm,,France,Fos-sur-Mer,ftp,,6',5'
fosm2,,France,Fos-sur-Mer2,SZFR01,FR719,19',6'
fpga,289,USA,Fort Pulaski,web,335F151E,13',5'
fpga2,289,USA,Fort Pulaski,SXXX03,335F151E,14',5'
fpnt,158,USA,"Ft Point,San Fran",web,336172E0,11',5'
fpnt2,158,USA,"Ft Point,San Fran",SXXX03,336172E0,12',5'
fren,107,USA,"Tern,Fr. Frigate",SXHW11,15D58280,8',5'
frtr,,Mexico,Frontera,ftp,,23h,10'
ftfr,338,France,"Fort-de-France, Martinique",ftp,,6',5'
ftfr2,338,France,"Fort-de-France, Martinique 2",SZCA01,FR126,11',6'
fue2,,Spain,Fuerteventura,ftp,,7',4'
fuer2,,Spain,"Puerto del Rosario, Fuerteventura",ftp,,13',5'
fuka,,Japan,Fukaura,SWJP40,FUKAURA,14',10'
furu,,Sweden,Furuogrund,web,,57',1h
futu,353,France,"Leava (Futuna Island, Wallis & Futuna)",SZFW40,065219DE,5',6'
GA37,,Italy,Gaeta,web,,5',5'
gale,,Trinidad & Tobago,Galeota,SOTD10,A9C013C0,20',1h
gamb,138,France,"Rikitea (French Polynesia, Gambier, Mangareva)",SEHI40,FAA0542E,7',5'
gand,,Spain,Gandia,ftp,,7',4'
ganm,27,Maldive Islands,Gan,SXXX32,32D8A2BE,20',15'
gara,,Spain,Garachico (Tenerife),bgan,GARA,0',1'
garc,26,UK,Diego Garcia,SXXX32,18963134,17',15'
gazi,,Cyprus,Gazimagusa,,,118d,2'
gbit,,New Zealand,Great Barrier,SZNZ01,GBIT,6',3'
gcsb,,Australia,Gold Coast Sand Bypass Jetty,SZAU01,60053,6',3'
GE25,,Italy,Genova,web,,5',5'
geor,,Cayman Islands,George Town,SOGC10,1320048C,398d,5'
GI20,,Italy,Ginostra (Isola di Stromboli),web,,5',5'
gibr,248,UK,Gibraltar (tsunami),ftp,,3032d,0.167'
gibr2,248,UK,Gibraltar,SXXX33,364026A2,93d,15'
gibr3,248,UK,Gibraltar,SXXX33,1852F574,10',6'
gij2,,Spain,Gijon,ftp,,4',4'
gila,,USA,"Grand Isle, LA",web,335DA364,9',5'
girn,,Cyprus,Girne,,,118d,2'
gist,,New Zealand,Gisborne,SZNZ01,GIST,6',3'
goag,,Sweden,Goteborg Agnesberg,web,,53',1h
goer,,Sweden,Goteborg Eriksberg,web,,53',1h
gokc,,Turkey,Gokceada,web,,5',2'
gokr,,Sweden,Goteborg Krossholmen,web,,56',1h
goti,,Sweden,Goteborg Tingstadstunneln,web,,53',1h
goto,233,Sweden,Goteborg Torshamnen,web,,55',1h
goug,,UK,Gough Island,SXXX32,18D74682,896d,15'
gpab,,Australia,Geraldton,SZAU01,62290,6',3'
gptx,217,USA,Galveston Pier,web,336AB456,46d,5'
greg,,Chile,Bahia Gregorio,SXCH40,ADC1B74A,5',5'
greg2,,Chile,Bahia Gregorio,web,,11',5'
groo,,Australia,Groote Eylandt,SZAU01,63511,6',3'
gtdpr,,Puerto Rico,"Guayanilla, Puerto Rico",SXXX03,A4F00CFC,38',6'
guam,149,USA,Guam (Apra Harbor),web,,11',6'
gvd9,,Greece,Gavdos,bgan,GR-GVD9-00,2246d,6'
gwda,295,Pakistan,Gwadar,SXXX33,1851B170,11',15'
hade,80,Israel,Hadera,ftp,,1382d,1'
hade2,,Israel,Hadera Port,bgan,HADE2,528d,1'
haif,,Israel,Haifa,bgan,HAIF,162d,1'
hain,,Myanmar,Haing Gyi Kyun,SZBM45,48000,360d,6'
hako,88,Japan,Hakodate,SWJP40,HAKODATE,14',10'
hali,222,Canada,Halifax,ftp,,2661d,6h
halm,,Sweden,Halmstad,web,,53',1h
hamb,,Sri Lanka,Hambantota,email,,3799d,5'
hana,,Japan,Hanasaki,SWJP40,HANASAKI,14',10'
hani,,Maldive Islands,Hanimadhoo,SXXX32,26CB10AC,22',15'
harl,,Netherlands,Harlingen,web,,-1177',10'
harv,,USA,"Oil Platform Harvest, CA",web,,23',6'
harw,,UK,Harwich,ftp,,38',15'
hasp,,UK,Hastings Pier,web,,1',0.1666'
hbay,,UK,Herne Bay,web,,10d,0.1666'
helg,,Germany,Helgoland Binnenhafen,web,,9',5'
hels,,Sweden,Helsingborg,web,,53',1h
hens,,Canada,Henslung Cove,web,,5',10'
herb,,France,L'Herbaudière,ftp,,12',5'
herb2,,France,L'Herbaudière 2,SZFR01,FR198,12',6'
heys,,UK,Heysham,ftp,,38',15'
hie2,,Spain,ElHierro,ftp,,7',4'
hien,,France,Hienghene (New Caledonia),SZNC42,xxxxxxx,5',6'
hill,,Australia,Hillarys Harbor,SZAU01,62237,6',3'
hilo,287,USA,"Hilo,Hawaii",web,,10',6'
hilo2,287,USA,"Hilo, Hawaii",SXXX03,334934A2,10',6'
hink,,UK,Hinkley Point,ftp,,38',15'
hirt,,Denmark,Hirtshals,ftp,,13',10'
hiva,,France,"Hiva Oa (Marquesas, French Polynesia)",SEHI40,9322451A,6',15'
hmda,326,Japan,Hamada,SWJP40,HAMADA,14',10'
hoek,,Netherlands,Hoek van Holland,web,,-2717',10'
holm,,Sweden,Holmsund,web,,53',1h
holy,,UK,Holyhead (tsunami),socket,,1153d,1'
holy2,,UK,Holyhead2,ftp,,38',15'
honn,,Norway,Honningsvåg,web,,23',1h
hono,108,USA,"Honolulu,Oahu",web,,12',6'
hono2,108,USA,"Honolulu, Oahu",SXXX03,3351410A,12',6'
horn,,Germany,Hörnum,web,,9',5'
hrak,,Greece,Hrakleio,web,,5',1'
htst,,Hawaii,Hawaii - TEST,bgan,ID-HTST-00,2400d,5'
huahi,,France,"Huahine island (Society Islands, French Polynesia)",SEHI40,B1F0371A,4',15'
huas2,,Chile,Huasco,web,,3',5'
huas3,,Chile,Huasco,web,,9',5'
huat,,Mexico,Huatulco,SOMX10,01010358,12',30'
huat2,,Mexico,Huatulco,ftp,,23',15'
huel,,Spain,Huelva5,ftp,,7',4'
iaix,,France,Ile d'Aix,ftp,,14',5'
ibiz,,Spain,Ibiza2,ftp,,7',4'
iclr,,Mexico,Isla Clarion,SOMX10,FB03E75A,2h,1h
iera,,Greece,Ierapetra,web,,6',1'
igne,,Turkey,Igneada,web,,6',2'
iler,,France,"Ile Royale, Kourou, French Guiana",ftp,,8d,5'
iler2,,France,"Ile Royale, Kourou, French Guiana 2",SZCA01,FR749,13',6'
ilfa,,UK,Ilfracombe,ftp,,38',15'
IM01,,Italy,Imperia,web,,5',5'
im02,,Italy,Imperia 2,bgan,IM02,5',1'
im02a,,Italy,Imperia,bgan,IM02A,1646d,0.0833'
imbi,,Brasil,Imbituba,ftp,,24',15'
imbt,,Brasil,Imbituba2,SEPO40,B5B02138,9',5'
immi,,UK,Immingham,ftp,,38',15'
imuj,,Mexico,"Isla Mujeres, Q. R.",ftp,,-119',10'
imuj2,,Mexico,Isla Mujeres2,SOMX10,0101E0AA,9',30'
inav,,Colombia,Isla Naval,SXCO41,15A05856,19',15'
inav2,,Colombia,Isla Naval,ftp,,9d,5'
inha,10,Moçambique,Inhambane,SXXX32,229C0324,2787d,15'
iqui,,Chile,Iquique,SXCH40,ADC1F440,5',5'
iqui2,,Chile,Iquique,web,,11',5'
isab,,Puerto Rico,Isabel Segunda,SXXX03,3366D02C,205d,6'
ishig,,Japan,Ishigakijima,SWJP40,ISHIGAKIJIMA,14',10'
iske,,Turkey,Iskenderun,web,,5',2'
ista,,Turkey,Istanbul,web,,8',2'
IT45,,Italy,Isole Tremiti,web,,5',5'
itea,,Greece,Itea,web,,5',1'
jaca,,Haïti,Jacmel,SEHA10,49A014F4,1904d,5'
jack,,New Zealand,Jackson Bay,SZPS01,65180,6',6'
jask,,Iran,Jask,SXXX32,16F152DA,589d,15'
jask2,,Iran,Jask2,ftp,,1335d,8h
jers,,UK,Jersey,ftp,,38',15'
john,109,USA,Johnston,SXHW11,15D142A4,6',5'
jrmi,,Haïti,Jeremie,SEHA10,49A01A26,7',5'
