,EP_PLATFORM_ID,EP_PLATFORM_TYPE,EP_PLATFORM_CODE,EP_PLATFORM_LINK,TIME_QC (1),latitude (degrees_north),longitude (degrees_east),SLEV_QC (1),SLEV_DM,site_code,platform_code,platform_name,pi_name,area,author,source,contributor_name,contributor_url,data_assembly_center,institution_edmo_code,institution_references,institution,wmo_platform_code
52045440,8494,TG,ConcarneauTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=8494,1,47.8738,-3.9076,0,\u0000,,ConcarneauTG,Concarneau,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
52531816,8494,TG,ConcarneauTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=8494,1,47.8738,-3.9076,4,\u0000,,ConcarneauTG,Concarneau,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
52988689,8494,TG,ConcarneauTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=8494,1,47.8738,-3.9076,3,\u0000,,ConcarneauTG,Concarneau,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
53829371,372084,TG,DeshaiesTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=372084,1,16.30529,-61.79591,1,D,,DeshaiesTG,Deshaies,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
53840526,372084,TG,DeshaiesTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=372084,1,16.30529,-61.79591,1,R,,DeshaiesTG,Deshaies,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
54182144,26684,TG,DieletteTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=26684,1,49.5525,-1.86083,1,\u0000,,DieletteTG,Dielette,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
55539884,26684,TG,DieletteTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=26684,1,49.5525,-1.86083,0,\u0000,,DieletteTG,Dielette,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
55957889,26684,TG,DieletteTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=26684,1,49.5525,-1.86083,4,\u0000,,DieletteTG,Dielette,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
56310102,26684,TG,DieletteTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=26684,1,49.5525,-1.86083,3,\u0000,,DieletteTG,Dielette,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
57318543,8517,TG,DieppeTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=8517,1,49.93,1.085,1,\u0000,,DieppeTG,Dieppe,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
