GLOSS number,Station,Country,Responsible country,Latitude (+ve N),Longitude (+ve E)
162,Socorro Is.,Mexico,Mexico,18.73333,-111.01666
157,"South Beach, OR",U.S.A.,U.S.A.,44.38,-124.03
187,South Georgia,U.K.,U.K.,-54.25,-36.75
56,Spring Bay,Australia,Australia,-42.55,147.93333
305,"Stanley, Falklands/Malvinas",U.K.,U.K.,-51.75,-57.93333
341,Stockholm,Sweden,,59.31666,18.08333
238,Stornoway,U.K.,U.K.,58.2,-6.38333
1,Suez (Port Taufig),Egypt,Egypt,29.93333,32.56666
292,Surabaya,Indonesia,Indonesia,-7.21666,112.73333
122,Suva,Fiji,Australia,-18.13333,178.43333
57,"Sydney, Fort Denison",Australia,Australia,-33.85,151.23333
95,Syowa,Japan,Japan,-69.0,39.6
335,Takoradi,Ghana,Ghana,4.88333,-1.75
282,Tan Tan,Morocco,Morocco,28.5,-11.05
113,"Tarawa, Gilbert Is.",Kiribati,Australia,1.36333,172.93
308,Thevenard,Australia,Australia,-32.15,133.64
313,Tiksi,Russia,Russia,71.66666,128.75
156,Tofino,Canada,Canada,49.15,-125.91666
125,Tongatapu,Tonga,U.S.A.,-21.16666,-175.25
237,"Torshavn, Faroe Islands.",Denmark,Denmark,62.01666,-6.76666
60,Townsville,Australia,Australia,-19.25,146.83333
325,Toyama,Japan,Japan,36.46,137.14
321,Tregde,Norway,Norway,58.0,7.56666
340,Trieste,Italy,,45.65,13.75
265,Trindade Is.,Brazil,Brazil,-20.5,-29.3
171,Tumaco,Colombia,Colombia,1.83333,-78.73333
102,"Unalaska, Aleutian Is. AK",U.S.A.,U.S.A.,53.88333,-166.53333
181,Ushuaia,Argentina,Argentina,-54.81666,-68.3
175,Valparaiso,Chile,Chile,-33.03333,-71.61666
348,Vanuatu,Vanuatu,,-17.76666,168.3
323,Vardo,Norway,Norway,70.33333,31.1
212,"Veracruz, Ver.",Mexico,Mexico,19.2,-96.13333
31,Veraval,India,India,20.9,70.36666
332,Virginia Keys,USA,,25.73166,-80.16166
35,Vishakhapatnam,India,India,17.68333,83.28333
346,Waikelo,Indonesia,,-9.38333,119.21666
105,"Wake Is., Marshall Is.",U.S.A.,U.S.A.,19.28333,166.61666
324,Wakkanai,Japan,Japan,45.41666,141.68333
314,Walvis Bay,Namibia,Namibia,-22.9493,14.49856
101,Wellington,New Zealand,New Zealand,-41.17,174.47
307,Won San,"Korea, PDR","Korea, DPR",39.16666,127.45
247,Xiamen,"China, People's Rep.","China, People's Rep.",24.45,118.06666
119,"Yap, Caroline Is.",Fed. Micronesia,U.S.A.,9.51666,138.13333
90,Yuzhno Kurilsk,Russia,Russia,44.01666,145.86666
297,Zanzibar,Tanzania,Tanzania,-6.15,39.18333
78,Zhapo,"China, People's Rep.","China, People's Rep.",21.58333,111.83333
