SSC ID,Station Name,Country_x,Latitude,Longitude,IOC code,PTWC code,GLOSS ID_x,UHSLC ID,PSMSL ID,SONEL GPS,SONEL TG,Code,GLOSS ID_y,Country_y,Location
SSC-bmsa,Bahia Mansa,Chile,-40.58,-73.74,"bmsa, bmsa2",bmsa,,,,,,bmsa,,Chile,Bahia Mansa
SSC-bmsa,Bahia Mansa,Chile,-40.58,-73.74,"bmsa, bmsa2",bmsa,,,,,,bmsa2,,Chile,Bahia Mansa
SSC-bnjl,Banjul,Gambia,13.44,-16.57,bnjl,,,,,,,bnjl,,Gambia,Banjul
SSC-bodr,Bodrum,Turkey,37.03,27.42,"bodr, bodri",bodr,,,"1204, 1680",,,bodr,,Turkey,Bodrum
SSC-boma,Boston,United States,42.36,-71.05,"boma, boma2",boma,,741,235,,,boma,,USA,Boston
SSC-bona,Bonan,Sweden,60.74,17.32,bona,,,,,,,bona,,Sweden,Bonan
SSC-bork,Borkum Fischerbalje,Germany,53.56,6.75,bork,,,,"1037, 573","1938, 2511, 639",2512,bork,,Germany,Borkum Fischerbalje
SSC-bouc,Boucau-Bayonne,France,43.53,-1.51,"bouc, bouc2",bouc,,,1801,3192,"1734, 3482",bouc,,France,Boucau-Bayonne
SSC-boul,Boulogne-Sur-Mer,France,50.73,1.58,"boul, boul2",boul,,,471,3187,1735,boul,,France,Boulogne-Sur-Mer
SSC-bour,Bournemouth,United Kingdom,50.71,-1.87,bour,,,,1878,,,bour,,UK,Bournemouth
SSC-bozc,Bozcaada,Turkey,39.84,26.08,bozc,,,,,,,bozc,,Turkey,Bozcaada
SSC-bozy,Bozyazi,Turkey,36.1,32.94,bozy,,,,2014,,,bozy,,Turkey,Bozyazi
SSC-bres,Brest,France,48.38,-4.5,"bres, bres2",,242.0,822,1,"3180, 642",1736,bres,242,France,Brest
SSC-brid,Bridgetown Port,Barbados,13.11,-59.62,brid,brid,,249,"1231, 1766","2092, 634",2217,brid,,Barbados,Bridgetown Port
SSC-brof,Brofjorden,Sweden,58.34,11.4,brof,,,,,,,brof,,Sweden,Brofjorden
SSC-brom,Broome,Australia,-18.0,122.22,brom,brom,40.0,166,"1159, 1171",3221,2806,brom,40,Australia,Broome
SSC-brpt,Barbers Point,United States,21.32,-158.12,brpt,brpt,,547,,,,brpt,,Hawaii,Barbers Point
SSC-brsk,Breskens Handelshaven,Netherlands,51.4,3.55,brsk,,,,,,,brsk,,Netherlands,Breskens Handelshaven
SSC-buca,Bucalemu,Chile,-34.64,-72.05,"buca, buca2, buca3",buca,,,,,,buca,,Chile,Bucalemu
SSC-buca,Bucalemu,Chile,-34.64,-72.05,"buca, buca2, buca3",buca,,,,,,buca2,,Chile,Bucalemu
SSC-buca,Bucalemu,Chile,-34.64,-72.05,"buca, buca2, buca3",buca,,,,,,buca3,,Chile,Bucalemu
SSC-bull,Bullen Bay,Curacao,12.19,-69.02,"bull, will",bull,,878,,,,bull,,Curaçao,Bullen Bay
SSC-bupo,Bungus Port,Indonesia,-1.03,100.4,bupo,bupo,,,,,,bupo,,Indonesia,Bungus Port
SSC-busa,Busan,South Korea,35.09,129.04,busa,busa,84.0,,955,2909,2830,busa,84,Korea,Busan
SSC-buve,Buenaventura,Colombia,3.89,-77.08,"buve, buve2",buve,170.0,85,456,2046,2393,buve,170,Colombia,Buenaventura
SSC-buve,Buenaventura,Colombia,3.89,-77.08,"buve, buve2",buve,170.0,85,456,2046,2393,buve2,170,Colombia,Buenaventura
SSC-cabc,Carrie Bow Cay,Belize,16.8,-88.08,cabc,cabc,,,,,,cabc,,Belize,Carrie Bow Cay
SSC-cabo,Cabo San Lucas,Mexico,22.88,-109.91,cabo,cabo,161.0,34,1355,,2851,cabo,161,Mexico,Cabo San Lucas
SSC-cadi,Cadiz,Spain,36.5,-6.2,cadi,cadi,,,"209, 514, 985","3055, 3460, 839","2182, 2397",cadi,,Spain,Cadiz
SSC-cagl,Cagliari,Italy,39.21,9.11,CA02,cagl,,,"104, 2089","2412, 3575, 645",2252,CA02,,Italy,Cagliari
SSC-cala,Calais,France,50.97,1.87,"cala, cala2",cals,,,455,3539,1739,cala,,France,Calais
SSC-cald,Caldera,Chile,-27.06,-70.82,"cald, cald2",cald,,88,"1512, 619",,,cald,,Chile,Caldera
SSC-cald,Caldera,Chile,-27.06,-70.82,"cald, cald2",cald,,88,"1512, 619",,,cald2,,Chile,Caldera
SSC-camp,Campbell River,Canada,50.02,-125.23,crbc,crbc,,,1323,3202,3201,crbc,,Canada,Campbell River
